EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	10:21:11	0	0.1000	5.064514192720739	3.430722713470459	0.3496	0.3006	0.3232
2	10:21:48	0	0.1000	2.876109557035493	2.458090305328369	0.4496	0.4275	0.4383
3	10:22:25	0	0.1000	2.262253771758661	1.91990327835083	0.5073	0.4970	0.5021
4	10:23:03	0	0.1000	1.869922429759328	1.6068568229675293	0.5670	0.5677	0.5673
5	10:23:39	0	0.1000	1.6420939986298724	1.407844066619873	0.5683	0.5677	0.5680
6	10:24:17	0	0.1000	1.51241575915639	1.329329252243042	0.5858	0.5844	0.5851
7	10:24:54	1	0.1000	1.448839102140287	1.2993453741073608	0.5766	0.5772	0.5769
8	10:25:31	0	0.1000	1.3830164932623141	1.251154899597168	0.5856	0.5856	0.5856
9	10:26:09	0	0.1000	1.3532200327733668	1.2015000581741333	0.5974	0.5988	0.5981
10	10:26:46	0	0.1000	1.3260646854958884	1.1508471965789795	0.6091	0.6084	0.6087
11	10:27:23	1	0.1000	1.289849455763654	1.1482964754104614	0.6026	0.6048	0.6037
12	10:28:00	0	0.1000	1.257607339068157	1.101731538772583	0.6218	0.6204	0.6211
13	10:28:38	1	0.1000	1.2384727777504339	1.1134626865386963	0.6173	0.6144	0.6158
14	10:29:15	0	0.1000	1.2144932586972306	1.0786114931106567	0.6319	0.6311	0.6315
15	10:29:52	0	0.1000	1.20266530019481	1.0688477754592896	0.6435	0.6443	0.6439
16	10:30:30	1	0.1000	1.1880084072671286	1.0659844875335693	0.6394	0.6371	0.6383
17	10:31:07	0	0.1000	1.1833517339171433	1.051302433013916	0.6455	0.6455	0.6455
18	10:31:45	1	0.1000	1.1594078558247263	1.053808331489563	0.6340	0.6347	0.6344
19	10:32:22	2	0.1000	1.151756292436181	1.0084469318389893	0.6466	0.6443	0.6455
20	10:33:00	0	0.1000	1.119267887603946	0.9856716394424438	0.6635	0.6635	0.6635
